Data Set,Avg Accuracy with BCS,Std. Dev,Avg Accuracy without BCS,Std. Dev,Original Component Size,Component size after BCS, AddedDiv
diabetic_retinopathy, 0.721109,0.026411,0.674190,0.042886,360.000000,6.900000, 0.000000
ionosphere, 0.874444,0.081187,0.920159,0.055280,183.600000,5.900000, 0.000000
segment, 0.959307,0.009172,0.835931,0.065189,464.400000,4.900000, 0.000000
wine, 0.977778,0.038845,0.966667,0.046849,190.800000,39.500000, 0.000000
thyroid, 0.995278,0.003773,0.942222,0.002379,752.400000,12.600000, 0.000000
vehicle, 0.801415,0.046720,0.762465,0.033218,331.200000,3.700000, 0.000000
ecoli, 0.818717,0.080342,0.878253,0.042080,216.000000,4.500000, 0.000000
glass, 1.000000,0.000000,0.967532,0.037698,180.000000,16.200000, 0.000000
breast-cancer-wisconsin, 0.965714,0.021508,0.962836,0.022514,331.200000,12.200000, 0.000000
haberman, 0.712796,0.071034,0.751505,0.038854,216.000000,5.600000, 0.000000
liver, 0.692689,0.085816,0.715546,0.052929,216.000000,2.900000, 0.000000
iris, 0.960000,0.046614,0.960000,0.046614,176.400000,33.300000, 0.000000
sonar, 0.779286,0.094881,0.846429,0.062141,144.000000,6.200000, 0.000000
diabetic_retinopathy, 0.747219,0.037280,0.674220,0.048341,360.000000,6.900000, 0.000000
ionosphere, 0.880238,0.051995,0.903095,0.036232,187.200000,10.800000, 0.000000
segment, 0.963636,0.010837,0.825108,0.075760,468.000000,4.700000, 0.000000
thyroid, 0.995139,0.002383,0.941667,0.003274,741.600000,10.800000, 0.000000
wine, 0.955556,0.057378,0.966667,0.053672,201.600000,34.000000, 0.000000
vehicle, 0.800266,0.045349,0.768263,0.042539,338.400000,3.900000, 0.000000
glass, 0.995455,0.014374,0.958658,0.058530,176.400000,16.800000, 0.000000
ecoli, 0.836720,0.057197,0.860160,0.046484,216.000000,10.900000, 0.000000
breast-cancer-wisconsin, 0.962795,0.022556,0.964182,0.019557,338.400000,15.400000, 0.000000
liver, 0.718739,0.097881,0.695294,0.084091,216.000000,5.100000, 0.000000
haberman, 0.702258,0.056322,0.758065,0.041768,216.000000,6.400000, 0.000000
iris, 0.960000,0.064406,0.960000,0.046614,180.000000,21.200000, 0.000000
sonar, 0.729762,0.134627,0.782619,0.124297,129.600000,6.900000, 0.000000
diabetic_retinopathy, 0.730607,0.045573,0.677691,0.024078,360.000000,8.300000, 0.000000
ionosphere, 0.877460,0.063301,0.903095,0.047114,187.200000,7.600000, 0.000000
segment, 0.965368,0.009572,0.850216,0.066697,468.000000,5.200000, 0.000000
wine, 0.971569,0.040847,0.976797,0.040830,198.000000,22.800000, 0.000000
thyroid, 0.995139,0.003088,0.942361,0.002639,745.200000,15.000000, 0.000000
vehicle, 0.812045,0.019793,0.774076,0.041379,324.000000,4.100000, 0.000000
ecoli, 0.827362,0.052348,0.851604,0.042806,216.000000,7.700000, 0.000000
glass, 0.977056,0.044303,0.962554,0.048593,176.400000,14.400000, 0.000000
liver, 0.669832,0.056485,0.707815,0.081973,208.800000,3.900000, 0.000000
iris, 0.960000,0.056218,0.893333,0.148074,172.800000,20.900000, 0.000000
breast-cancer-wisconsin, 0.967143,0.027807,0.965714,0.023522,316.800000,25.600000, 0.000000
sonar, 0.759524,0.100772,0.797143,0.093535,140.400000,6.500000, 0.000000
haberman, 0.715054,0.091413,0.745054,0.052654,216.000000,9.500000, 0.000000
diabetic_retinopathy, 0.727144,0.041924,0.675900,0.035573,360.000000,6.900000, 0.000000
ionosphere, 0.880476,0.061001,0.914524,0.060239,194.400000,4.200000, 0.000000
segment, 0.958442,0.013871,0.861039,0.063145,457.200000,7.900000, 0.000000
wine, 0.971895,0.039553,0.983333,0.026836,198.000000,32.900000, 0.000000
thyroid, 0.994444,0.002700,0.941667,0.003983,734.400000,12.100000, 0.000000
vehicle, 0.791891,0.034459,0.781345,0.015612,331.200000,4.300000, 0.000000
ecoli, 0.869340,0.043542,0.857130,0.027096,216.000000,8.300000, 0.000000
glass, 0.990693,0.019628,0.976623,0.046038,176.400000,16.800000, 0.000000
iris, 0.966667,0.047140,0.960000,0.046614,180.000000,20.400000, 0.000000
liver, 0.695882,0.078702,0.724118,0.071216,212.400000,7.100000, 0.000000
breast-cancer-wisconsin, 0.958509,0.023767,0.965652,0.018104,327.600000,25.200000, 0.000000
sonar, 0.822143,0.089876,0.836905,0.074495,162.000000,5.100000, 0.000000
haberman, 0.738172,0.052979,0.748065,0.045727,216.000000,14.500000, 0.000000
diabetic_retinopathy, 0.740217,0.046684,0.664580,0.051405,360.000000,10.800000, 0.000000
ionosphere, 0.894365,0.054085,0.903016,0.045234,183.600000,4.900000, 0.000000
wine, 0.977451,0.039169,0.971895,0.039553,190.800000,35.900000, 0.000000
vehicle, 0.802591,0.044279,0.769482,0.042878,331.200000,4.300000, 0.000000
segment, 0.962338,0.012253,0.836797,0.089792,460.800000,6.600000, 0.000000
thyroid, 0.996111,0.002342,0.941389,0.003261,745.200000,10.900000, 0.000000
ecoli, 0.860428,0.063390,0.848752,0.081953,208.800000,7.200000, 0.000000
glass, 0.990693,0.019628,0.967100,0.039038,176.400000,16.800000, 0.000000
breast-cancer-wisconsin, 0.957081,0.019049,0.965652,0.019316,313.200000,24.500000, 0.000000
liver, 0.675210,0.067941,0.711008,0.074682,216.000000,7.500000, 0.000000
iris, 0.960000,0.046614,0.933333,0.083148,169.200000,24.900000, 0.000000
haberman, 0.722151,0.058341,0.718602,0.060091,216.000000,14.100000, 0.000000
sonar, 0.808095,0.086418,0.793095,0.064305,140.400000,6.700000, 0.000000
diabetic_retinopathy, 0.740210,0.028381,0.673291,0.049792,360.000000,10.500000, 0.000000
wine, 0.960458,0.027318,0.966013,0.029278,194.400000,37.400000, 0.000000
ionosphere, 0.908889,0.049883,0.914683,0.059827,198.000000,8.200000, 0.000000
vehicle, 0.803810,0.034678,0.763515,0.025726,306.000000,4.000000, 0.000000
segment, 0.962771,0.015834,0.883550,0.058666,428.400000,4.400000, 0.000000
thyroid, 0.995417,0.002782,0.942639,0.003985,745.200000,8.800000, 0.000000
glass, 0.986364,0.030679,0.958009,0.051030,169.200000,15.600000, 0.000000
ecoli, 0.838770,0.095867,0.854100,0.065912,212.400000,7.500000, 0.000000
liver, 0.649412,0.069639,0.727815,0.068467,216.000000,5.300000, 0.000000
iris, 0.953333,0.044997,0.900000,0.130526,180.000000,18.400000, 0.000000
breast-cancer-wisconsin, 0.965652,0.023548,0.964265,0.016807,331.200000,19.600000, 0.000000
haberman, 0.692366,0.095707,0.738387,0.052381,216.000000,10.100000, 0.000000
sonar, 0.807381,0.068424,0.812381,0.086743,151.200000,9.100000, 0.000000
diabetic_retinopathy, 0.735907,0.036245,0.669033,0.028648,360.000000,8.400000, 0.000000
wine, 0.971895,0.039553,0.977451,0.029126,201.600000,33.000000, 0.000000
ionosphere, 0.888730,0.079176,0.914444,0.050498,194.400000,4.400000, 0.000000
vehicle, 0.806008,0.035773,0.752871,0.033744,320.400000,4.300000, 0.000000
segment, 0.963636,0.013720,0.874026,0.067942,442.800000,5.000000, 0.000000
thyroid, 0.995972,0.003237,0.941806,0.002887,745.200000,15.600000, 0.000000
breast-cancer-wisconsin, 0.948551,0.021468,0.959979,0.022105,324.000000,13.200000, 0.000000
glass, 0.985931,0.022661,0.981169,0.024319,183.600000,18.000000, 0.000000
ecoli, 0.839305,0.052957,0.857308,0.038121,216.000000,9.300000, 0.000000
haberman, 0.725806,0.089376,0.755376,0.065507,216.000000,8.400000, 0.000000
liver, 0.611261,0.085775,0.692521,0.085048,212.400000,5.800000, 0.000000
iris, 0.966667,0.047140,0.933333,0.070273,180.000000,20.700000, 0.000000
sonar, 0.798333,0.135814,0.812619,0.101290,144.000000,3.800000, 0.000000
diabetic_retinopathy, 0.730592,0.060081,0.691552,0.028693,360.000000,7.700000, 0.000000
ionosphere, 0.891746,0.081687,0.888968,0.057626,194.400000,4.500000, 0.000000
segment, 0.963203,0.009407,0.858442,0.066065,446.400000,4.100000, 0.000000
wine, 0.965686,0.048257,0.976797,0.040830,198.000000,40.800000, 0.000000
thyroid, 0.995278,0.003085,0.941944,0.002249,738.000000,13.200000, 0.000000
vehicle, 0.800168,0.049123,0.765910,0.049487,342.000000,3.600000, 0.000000
glass, 1.000000,0.000000,0.962554,0.036790,187.200000,16.800000, 0.000000
ecoli, 0.844920,0.063592,0.850891,0.077974,216.000000,9.100000, 0.000000
breast-cancer-wisconsin, 0.958509,0.020708,0.964203,0.023655,338.400000,13.300000, 0.000000
liver, 0.664202,0.098270,0.707647,0.059293,216.000000,6.600000, 0.000000
iris, 0.953333,0.044997,0.953333,0.032203,180.000000,23.000000, 0.000000
haberman, 0.741828,0.049676,0.728817,0.043603,216.000000,6.500000, 0.000000
sonar, 0.735000,0.148266,0.807619,0.093750,140.400000,10.700000, 0.000000
diabetic_retinopathy, 0.708921,0.074599,0.677669,0.043676,360.000000,10.400000, 0.000000
ionosphere, 0.866190,0.035240,0.914444,0.053971,201.600000,5.300000, 0.000000
segment, 0.964069,0.010999,0.864069,0.077283,457.200000,6.200000, 0.000000
wine, 0.977451,0.029126,0.977451,0.029126,198.000000,36.200000, 0.000000
thyroid, 0.993333,0.003057,0.942778,0.003194,741.600000,12.000000, 0.000000
vehicle, 0.808599,0.051972,0.773109,0.037408,331.200000,4.500000, 0.000000
ecoli, 0.848574,0.069998,0.863280,0.048006,216.000000,6.000000, 0.000000
glass, 0.990693,0.019628,0.957792,0.041084,176.400000,15.000000, 0.000000
liver, 0.686303,0.079856,0.695462,0.045264,216.000000,4.600000, 0.000000
iris, 0.960000,0.056218,0.906667,0.137706,176.400000,25.700000, 0.000000
breast-cancer-wisconsin, 0.958489,0.027368,0.965611,0.022729,331.200000,31.000000, 0.000000
sonar, 0.774524,0.069842,0.818095,0.091323,151.200000,9.700000, 0.000000
haberman, 0.702473,0.069310,0.748602,0.078325,216.000000,10.600000, 0.000000
diabetic_retinopathy, 0.724580,0.048027,0.683786,0.058924,360.000000,8.500000, 0.000000
ionosphere, 0.874603,0.062088,0.917222,0.049493,198.000000,11.500000, 0.000000
segment, 0.967532,0.008718,0.883983,0.056657,453.600000,5.000000, 0.000000
wine, 0.977778,0.038845,0.977778,0.038845,201.600000,39.100000, 0.000000
vehicle, 0.812073,0.032640,0.764930,0.038570,338.400000,3.700000, 0.000000
